Index,Year,H0,eH0,ObsType,Reference
467,2002.918,59,9.5,LC,"Treu, T. \& Koopmans, L., 2002, MNRAS 337, L6. (PG1115+080)"
468,2002.949,71,6,F,"Mei, S., Scodeggio, M., SDilva, D. \& Quinn, P. 2003, A\&A in press. Astroph0212262. SBF to N564 \& N7619."
469,2002.973,72,14,CC,"Slosar, A. \et al 2003, MNRAS in press. Astroph0212497. VSA-CMB"
470,2003.04,81,10,2,"Hamuy, M. 2003, in Carnegie Observatories Astrophysics Series, Vol. 2: Measuring and Modeling the Universe, ed. W. L. Freedman (Cambridge: Cambridge Univ. Pres"
471,2003.055,67,4,S,"Hoeflich, P., Gerardy, C., Linder, E. \& Marion, H. 2003, in {\it Stellar Candles}, eds. Gieren et al. Lecture Notes in Physics. astro-ph/0301334"
472,2003.122,71,3.5,OC,"Spergel, D. et al. ApJ in press. WMAP   astro-ph/0302209"
473,2003.155,70,3,OC,"Contaldi, C., Hoekstra, H. \& Lewis, A. 2003, PRL submitted. Astroph0302435"
474,2003.177,56,4,O,"Alves, D. 2003, in ``Standard Candles for the Extragalactic Distance Scale.'' astro-ph/0303035"
475,2003.215,57,2,AS,"Tammann, G., Sandage, A. \& Reindel, B. 2003, A\&A in press. Astroph0303378."
476,2003.218,70,10,S,"Perlmutter, S. \& Schmidt, B. 2003,  astroph 0303428."
477,2003.239,77,20,Z,"Battistelli, E. et al 2003, ApJL 598, L75. astro-ph/0303587. SZ on Coma."
478,2003.25,66,5,A,"Melchiorri, A., Bode,P., Bahcall,N. \& Silk,J. 2003, ApJL 586, L12. ArXiv0212276."
479,2003.3,72,8,AK,"Freedman, W. Kennicutt, R., Mould, J. \& Madore, B. 2003, in {\it A Decade of Hubble Space Telescope Science}, M. Livio, K. Noll \& M. Stiavelli, eds. (Cambrid"
480,2003.376,57,15,2,"Leonard, D., Kanbur, S., Ngeow, C. \& Tanvir, N. 2003, ApJ in press. (EPM) Astroph0305259. SN1999em, NGC1637."
481,2003.376,59,11,2,"Leonard, D., Kanbur, S., Ngeow, C. \& Tanvir, N. 2003, ApJ in press. (SCM) Astroph0305259. SN1999em, NGC1637."
482,2003.39,77,17,ZC,"Saunders et al 2003, MNRAS 341,937. SZ in A773 SCDM"
483,2003.39,85,18.5,ZC,"Saunders et al 2003, MNRAS 341,937. SZ in A773 LCDM"
484,2003.422,48,3,LC,"Kochanek, C. \& Schechter, P. 2003, in Carnegie Symp. \#2, astroph0306040,  lenses isothermal, flat rotation curves."
485,2003.422,71,3,LC,"Kochanek, C. \& Schechter, P. 2003, in Carnegie Symp. \#2, astroph0306040,  lenses constant M/L."
486,2003.431,61,18,ZC,"Reese, E. 2003, Carnegie Symposium V2. astroph0306073"
