Index,Year,H0,eH0,ObsType,Reference
678,2020,67.8,0.7,LCDM,"Philcox et al., 2020, JCAP, 2020, 032."
679,2020,67.9,1.5,LCDM,"Aiola et al., 2020, JCAP, 2020, 047."
680,2020,67.9,1.1,LCDM,"Ivanov et al., 2020, JCAP, 2020, 042."
681,2020,67.95,0.91,LCDM,"Zhang and Huang, 2020, SCPMA, 63, 290402."
682,2020,68.4,0.58,LCDM,"Wang and Huang, 2020, JCAP, 2020, 045."
683,2020,68.5,2.2,LCDM,"d’Amico et al., 2020, JCAP, 2020, 005."
684,2020,68.6,1.1,LCDM,"Philcox et al., 2020, JCAP, 2020, 032."
685,2020,68.7,1.5,LCDM,"Colas et al., 2020, JCAP, 2020, 001."
686,2020,69,1.2,LCDM,"Nadathur et al., 2020, PhRvL, 124, 221301."
687,2020,69.06,0.63,LCDM,"Cao et al., 2020, MNRAS, 497, 3191."
688,2020,69.6,1.8,LCDM,"Pogosian et al., 2020, ApJL, 904, L17."
689,2020,69.71,1.28,LCDM,"Camarena and Marra, 2020, MNRAS, 495, 2630."
690,2020,69.72,1.63,LCDM,"Wang and Huang, 2020, JCAP, 2020, 045."
691,2020,71.6,4.35,LCDM,"Rusu et al., 2020, MNRAS, 498, 1440."
692,2020,72.3,1.9,LCDM,"Nadathur et al., 2020, PhRvL, 124, 221301."
693,2020,73.5,5.3,LCDM,"Baxter and Sherwin, 2021, MNRAS, 501, 1823."
694,2020,73.65,2.11,LCDM,"Yang et al., 2020, MNRAS, 497, L56."
695,2020,74,1.75,LCDM,"Millon et al., 2020, A&A, 639, A101."
696,2020,74.2,1.6,LCDM,"Millon et al., 2020, A&A, 639, A102."
697,2020,74.2,2.85,LCDM,"Shajib et al., 2020, MNRAS, 494, 6072."
698,2020,74.3,1.9,LCDM,"Wei and Melia, 2020, ApJ, 897, 127."
699,2020,74.36,1.42,LCDM,"Camarena and Marra, 2020, MNRAS, 495, 2630."
700,2020,74.5,5.85,LCDM,"Birrer et al., 2020, A&A, 643, A165."
701,2020,75.32,1.68,LCDM,"Camarena and Marra, 2020, MNRAS, 495, 2630."
702,2020,75.36,1.68,LCDM,"Camarena and Marra, 2020, MNRAS, 495, 2630."
703,2021,65,22.5,IND,"GRAVITY Collaboration et al., 2021, A&A, 654, A85."
704,2021,67.4,4.8,IND,"Sun W., Jiao K., Zhang T.-J., 2021, ApJ, 915, 123."
705,2021,68.3,4.55,IND,"Mukherjee et al., 2021, A&A, 646, A65."
706,2021,68.6,11.75,IND,"Baklanov et al., 2021, ApJ, 907, 35."
707,2021,68.8,35.6,IND,"Gayathri et al., 2021, ApJL, 908, L34."
708,2021,69,12,IND,"Abbott et al., 2021, ApJ, 909, 218."
709,2021,69.5,4,IND,"Wang and Giannios, 2021, ApJ, 908, 200."
710,2021,69.8,2.2,IND,"Freedman, 2021, ApJ, 919, 16."
711,2021,70.5,5.75,IND,"Khetan et al., 2021, A&A, 647, A72."
712,2021,71.8,3.6,IND,"Denzel et al., 2021, MNRAS, 501, 784."
713,2021,72.1,2,IND,"Soltis et al., 2021, ApJL, 908, L5."
714,2021,73.2,1.3,IND,"Riess et al., 2021, ApJL, 908, L6."
715,2021,73.3,3.1,IND,"Blakeslee et al., 2021, ApJ, 911, 65."
716,2021,73.78,0.84,IND,"Bonilla et al., 2021, EPJC, 81, 127."
717,2021,65.1,4.2,LCDM,"Philcox et al., 2021, PhRvD, 103, 023538."
718,2021,65.6,4.45,LCDM,"Philcox et al., 2021, PhRvD, 103, 023538."
719,2021,67.3,17.3,LCDM,"Wan et al., 2021, MNRAS, 504, 1062."
720,2021,67.4,0.9,LCDM,"Hall, 2021, MNRAS, 505, 4935."
721,2021,67.49,0.53,LCDM,"Balkenhol et al., 2021, PhRvD, 104, 083509."
722,2021,68.02,1.82,LCDM,"Zhang X., Huang Q.-G., 2021, PhRvD, 103, 043513."
723,2021,68.18,0.79,LCDM,"Alam et al., 2021, PhRvD, 103, 083533."
724,2021,68.58,1.76,LCDM,"Zhang X., Huang Q.-G., 2021, PhRvD, 103, 043514."
725,2021,68.63,1.76,LCDM,"Zhang and Huang, 2021, PhRvD, 103, 043513."
726,2021,68.8,1.8,LCDM,"Cao et al., 2021, MNRAS, 504, 300."
727,2021,68.8,1.5,LCDM,"Dutcher et al., 2021, PhRvD, 104, 022003."
728,2021,68.9,1.05,LCDM,"Ivanov, 2021, PhRvD, 104, 103514."
729,2021,69.3,1.2,LCDM,"Cao et al., 2021, MNRAS, 501, 1520."
730,2021,70,2.7,LCDM,"Addison, 2021, ApJL, 912, L1."
731,2021,70.6,3.7,LCDM,"Philcox et al., 2021, PhRvD, 103, 023538."
732,2021,72.4,4.35,LCDM,"Addison, 2021, ApJL, 912, L1."
733,2021,73.1,3.6,LCDM,"Addison, 2021, ApJL, 912, L1."
734,2021,73.6,1.7,LCDM,"Qi et al., 2021, MNRAS, 503, 2179."
735,2021,84.5,6.4,LCDM,"Ivanov, 2021, PhRvD, 104, 103514."
736,2022,65.9,2.95,IND,"Zhang et al., 2022, ApJ, 936, 21."
737,2022,68.1,2.6,IND,"Mörtsell et al., 2022, ApJ, 935, 58."
738,2022,68.1,3.5,IND,"Mörtsell et al., 2022, ApJ, 933, 212."
739,2022,68.8,11.85,IND,"Gray et al., 2022, MNRAS, 512, 1127."
740,2022,68.8,3.65,IND,"Benndorf et al., 2022, EPJC, 82, 457."
741,2022,71.5,1.8,IND,"Anand et al., 2022, ApJ, 932, 16."
742,2022,71.9,2.2,IND,"Mörtsell et al., 2022, ApJ, 933, 212."
743,2022,72.19,5.74,IND,"Gallego-Cano et al., 2022, A&A, 666, A13."
744,2022,72.24,2.63,IND,"Liu et al., 2022, ApJ, 939, 37."
745,2022,72.45,1.99,IND,"Liu et al., 2022, ApJ, 939, 38."
746,2022,72.9,2.3,IND,"Kenworthy et al., 2022, ApJ, 935, 83."
747,2022,73.01,0.99,IND,"Riess et al., 2022, ApJ, 938, 36."
748,2022,73.04,1.04,IND,"Riess et al., 2022, ApJL, 934, L7."
749,2022,73.15,0.97,IND,"Riess et al., 2022, ApJ, 938, 36."
750,2022,73.2,1.3,IND,"Mörtsell et al., 2022, ApJ, 933, 212."
751,2022,73.9,1.8,IND,"Mörtsell et al., 2022, ApJ, 933, 212."
752,2022,75.5,2.5,IND,"Kourkchi et al., 2022, MNRAS, 511, 6160."
753,2022,76.7,2,IND,"Mörtsell et al., 2022, ApJ, 933, 212."
754,2022,76.94,6.4,IND,"Dhawan et al., 2022, ApJ, 934, 185."
755,2022,62.3,9.1,LCDM,"Hagstotz et al., 2022, MNRAS, 511, 662."
756,2022,64.8,2.35,LCDM,"Philcox et al., 2022, PhRvD, 106, 063530."
757,2022,67.1,2.7,LCDM,"Philcox et al., 2022, PhRvD, 106, 063530."
758,2022,68.19,0.99,LCDM,"Zhang et al, 2022, JCAP, 2022, 036."
759,2022,68.3,0.45,LCDM,"Schöneberg et al., 2022, JCAP, 2022, 039."
760,2022,68.81,4.66,LCDM,"Wu et al., 2022, MNRAS, 515, L1."
761,2022,69.1,0.14,LCDM,"Zhang and Cai, 2022, JCAP, 2022, 031."
762,2022,69.5,3.25,LCDM,"Farren et al., 2022, PhRvD, 105, 063503."
763,2022,69.7,1.2,LCDM,"Cao and Ratra, 2022, MNRAS, 513, 5686."
764,2022,69.7,1.2,LCDM,"Cao et al., 2022, MNRAS, 509, 4745."
765,2022,73,10,LCDM,"James et al., 2022, MNRAS, 516, 4862."
766,2022,73.42,1.79,LCDM,"Liu et al., 2022, A&A, 668, A51."
